id,artifact_id,name,level,max_level,rarity,attribute,skill1_name,skill1_quality,skill1_effect,skill2_name,skill2_quality,skill2_effect,skill3_name,skill3_quality,skill3_effect,skill4_name,skill4_quality,skill4_effect
5115746,301030301,金華旗幟,1,5,3,6,攻撃力,3,+1560,弱体成功率,1,+6.6%,通常攻撃の与ダメージ上昇,3,+10400,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
5115547,301030101,オミナス・ゴブレット,1,5,3,3,トリプルアタック確率,4,+5.6%,自属性攻撃力,1,+8.8%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,1,+17.6%,敵に一定回数攻撃を与えた時、一度だけ自分に乱撃(3ヒット)効果(1回),1,200回
5095579,301090301,金華銅鑼,1,5,3,5,ダブルアタック確率,1,+6.6%,クリティカル確率,1,+13.2%,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,2,+14.4%,ターン終了時、確率で敵の強化効果を全て無効化(重複不可),1,1%
5095574,301040201,サント・アルミュール,1,5,3,1,回避率,2,+4.8%,有利属性軽減,4,+5.6%,HPが100%の時、与ダメージUP,3,+2.6%,一定回数敵の攻撃行動のターゲットになった場合、一度だけ自分に自属性追撃(1回)効果,1,7回
5095573,301050201,サント・ローブ,1,5,3,4,回避率,3,+5.2%,弱体成功率,4,+8.4%,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,3,+15.6%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
5095570,301060301,金華望鏡,1,5,3,5,攻撃力,1,+1320,有利属性軽減,1,+4.4%,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,1,+13.2%,1回攻撃発動時、自分に一定個数ランダムな強化効果,1,1個
5095559,301040101,オミナス・ホーン,1,5,3,4,ダブルアタック確率,2,+7.2%,奥義ダメージ,2,+14.4%,HPが100%の時、与ダメージUP,3,+2.6%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
5083638,301080201,サント・シャッポー,1,5,3,2,アビリティダメージ,1,+13.2%,クリティカル確率,2,+14.4%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,3,+20.8%,獲得経験値UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+1%
5083598,301080101,オミナス・フィアン,1,5,3,2,奥義ダメージ,1,+13.2%,攻撃力,1,+1320,確率で強化効果が無効化されない,1,20%,アビリティを一定回数使用する度に自分にダメージ上限UP(累積),1,5回
5083322,301020101,オミナス・リング,1,5,3,1,奥義ダメージ,1,+13.2%,ダブルアタック確率,3,+7.8%,アビリティ与ダメージ上昇,1,+11000,ターン終了時、確率で敵の強化効果を全て無効化(重複不可),1,1%
5083093,301010101,オミナス・アミュレット,1,5,3,3,クリティカル確率,5,+18%,奥義ダメージ,3,+15.6%,最大HP上昇/防御力-70%,4,+11.2%,使用間隔が10ターン以上のアビリティ使用時、自分に与ダメージUP,1,2%
5082577,301020201,サント・ジャセロン,1,5,3,5,クリティカル確率,4,+16.8%,アビリティダメージ,5,+18%,奥義ダメージ特殊上限UP,3,+5.2%,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
5082546,301050101,オミナス・トーテム,1,5,3,3,弱体成功率,5,+9%,弱体耐性,1,+6.6%,通常攻撃ダメージ上限,2,+2.4%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
5082531,301010201,サント・クローヌ,1,5,3,5,攻撃力,5,+1800,クリティカル確率,3,+15.6%,アビリティ与ダメージ上昇,3,+13000,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
5082527,301070101,オミナス・バンクル,1,5,3,6,弱体耐性,5,+9%,防御,3,+10.4%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
5081770,301030301,金華旗幟,1,5,3,4,攻撃力,4,+1680,HP,4,+840,通常攻撃ダメージ上限,1,+2.2%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
5081769,301050301,金華名鏡,1,5,3,5,回復性能,1,+13.2%,奥義ダメージ,3,+15.6%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,アビリティを一定回数使用する度に自分にダメージ上限UP(累積),1,5回
5081767,301090101,オミナス・ホイッスル,1,5,3,1,トリプルアタック確率,4,+5.6%,攻撃力,3,+1560,奥義ダメージ上限,1,+6.6%,バトル開始時と5ターン毎に自分にバリア効果,1,1000
5081674,301050101,オミナス・トーテム,1,5,3,6,回避率,1,+4.4%,HP,2,+720,通常攻撃ダメージ上限UP/アビリティダメージ上限-80％/奥義ダメージ上限-60％,3,+5.2%,リンクアビリティを一定回数使用時に自分のリンクアビリティの再使用間隔を1ターン短縮,1,8回
5081657,301010201,サント・クローヌ,1,5,3,2,クリティカル確率,2,+14.4%,トリプルアタック確率,1,+4.4%,奥義与ダメージ上昇,2,+120000,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
5081655,301080101,オミナス・フィアン,1,5,3,1,奥義ダメージ,2,+14.4%,攻撃力,1,+1320,最大HP上昇/防御力-70%,1,+8.8%,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
5081333,301100201,サント・キャプション,1,5,3,1,回復性能,2,+14.4%,防御,4,+11.2%,チェイン与ダメージUP,5,+9%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
5054535,301040101,オミナス・ホーン,1,5,3,6,攻撃力,2,+1440,アビリティダメージ,4,+16.8%,奥義ダメージ特殊上限UP,2,+4.8%,回復アビリティ使用時、自分の次に配置されたキャラに自属性追撃効果(1回),1,4%
5053900,301030101,オミナス・ゴブレット,1,5,3,4,攻撃力,1,+1320,防御,3,+10.4%,再生,2,480,使用間隔が10ターン以上のアビリティ使用時、自分に与ダメージUP,1,2%
5029712,301060201,サント・リネット,1,5,3,1,トリプルアタック確率,2,+4.8%,弱体成功率,2,+7.2%,奥義ダメージ特殊上限UP,2,+4.8%,バトル開始時に自分に一定個数ランダムな強化効果,1,1個
5029042,301060201,サント・リネット,1,5,3,6,奥義ダメージ,2,+14.4%,クリティカル確率,3,+15.6%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,アイテムドロップ率UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+0.5%
5027983,301030201,サント・キャスク,1,5,3,5,攻撃力,4,+1680,有利属性軽減,3,+5.2%,HPが50%以上の時、トリプルアタック確率UP,3,+7.8%,サブメンバー時、一定ターン毎に敵全体にランダムな弱体効果を1つ付与(重複不可),1,7ターン
5027982,301080301,金華胸鎧,1,5,3,3,奥義ダメージ,2,+14.4%,防御,4,+11.2%,通常攻撃ダメージ上限,2,+2.4%,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
5027980,301020301,金華面具,1,5,3,1,奥義ダメージ,1,+13.2%,ダブルアタック確率,1,+6.6%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,4,+22.4%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
5009849,301050301,金華名鏡,1,5,3,3,ダブルアタック確率,2,+7.2%,アビリティダメージ,2,+14.4%,アビリティ与ダメージ上昇,3,+13000,アビリティダメージを一定量与える毎に自分にアビリティ与ダメージ上昇(累積),1,40000000
4998763,301030301,金華旗幟,1,5,3,5,奥義ダメージ,4,+16.8%,弱体成功率,5,+9%,クリティカル発動時、ダメージ上限UP,1,+2.2%,バトル開始時と5ターン毎に自分にバリア効果,1,1000
4971171,301020101,オミナス・リング,1,5,3,2,有利属性軽減,2,+4.8%,回復性能,4,+16.8%,HPが50%以下の時、被ダメージを軽減,3,+10.4%,サブメンバー時、一定ターン毎に敵全体にランダムな弱体効果を1つ付与(重複不可),1,7ターン
4958638,301050101,オミナス・トーテム,1,5,3,6,防御,4,+11.2%,自属性攻撃力,1,+8.8%,最大HP上昇/防御力-70%,3,+10.4%,バトル登場時に一度だけ自分の与ダメージUP,1,3%
4958637,301040101,オミナス・ホーン,1,5,3,4,奥義ダメージ,3,+15.6%,回避率,3,+5.2%,通常攻撃の与ダメージ上昇,3,+10400,アイテムドロップ率UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+0.5%
4958296,301070201,サント・ブート,1,5,3,4,HP,1,+660,ダブルアタック確率,1,+6.6%,通常攻撃ダメージ上限,1,+2.2%,戦闘不能になった時、一度だけ味方全体に一定個数ランダムな強化効果,1,1個
4956226,301080201,サント・シャッポー,1,5,3,1,防御,1,+8.8%,攻撃力,1,+1320,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,1,+13.2%,バトル開始時に自分に一定個数ランダムな強化効果,1,1個
4943545,301020301,金華面具,1,5,3,1,回避率,1,+4.4%,奥義ダメージ,2,+14.4%,HPが50%以上の時、トリプルアタック確率UP,5,+9%,ターン終了時、自分がそのターン中に消費したHPに応じて敵に無属性ダメージ,1,10倍
4943544,301060101,オミナス・ペンダント,1,5,3,3,防御,1,+8.8%,弱体耐性,4,+8.4%,奥義ダメージ特殊上限UP,4,+5.6%,バトル開始時に最大HPの20%を消費するが3ターン後、自分にダメージ上限UP,1,10%
4943531,301020201,サント・ジャセロン,1,5,3,2,奥義ダメージ,1,+13.2%,弱体成功率,1,+6.6%,HPが50%以上の時、トリプルアタック確率UP,5,+9%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
4940354,301060101,オミナス・ペンダント,1,5,3,6,回復性能,3,+15.6%,HP,2,+720,アビリティ与ダメージ上昇,1,+11000,バトル開始時と5ターン毎に自分にバリア効果,1,1000
4940244,301080201,サント・シャッポー,1,5,3,6,ダブルアタック確率,1,+6.6%,奥義ダメージ,1,+13.2%,アビリティ与ダメージ上昇,1,+11000,1番目のアビリティ使用時にHPを一定割合消費するが、1番目のアビリティの使用間隔を1ターン短縮(レベルに応じて消費割合DOWN),1,30%
4939858,301070201,サント・ブート,1,5,3,3,防御,3,+10.4%,トリプルアタック確率,3,+5.2%,HPが50%以上の時、トリプルアタック確率UP,3,+7.8%,リンクアビリティを一定回数使用時に自分のリンクアビリティの再使用間隔を1ターン短縮,1,8回
4939661,301100201,サント・キャプション,1,5,3,3,弱体成功率,3,+7.8%,自属性攻撃力,1,+8.8%,奥義与ダメージ上昇,2,+120000,バトル登場時に一度だけ自分の与ダメージUP,1,3%
4939304,301040201,サント・アルミュール,1,5,3,1,攻撃力,2,+1440,回復性能,2,+14.4%,チェイン与ダメージUP,2,+7.2%,ターン終了時にHPが50%以下の敵がいる時、一度だけ自分のHPを回復,1,2000
4939130,301040101,オミナス・ホーン,1,5,3,2,クリティカル確率,2,+14.4%,弱体耐性,1,+6.6%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,ターン終了時にHPが50%以下の敵がいる時、一度だけ自分のHPを回復,1,2000
4914387,301020101,オミナス・リング,1,5,3,5,自属性攻撃力,1,+8.8%,回避率,5,+6%,通常攻撃ダメージ上限UP/アビリティダメージ上限-80％/奥義ダメージ上限-60％,2,+4.8%,ターン終了時、確率で敵の強化効果を全て無効化(重複不可),1,1%
4896169,301040301,金華革帯,1,5,3,6,トリプルアタック確率,4,+5.6%,回避率,5,+6%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,2,+19.2%,獲得経験値UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+1%
4895894,301060201,サント・リネット,1,5,3,3,自属性攻撃力,5,+12%,アビリティダメージ,2,+14.4%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
4887798,301020301,金華面具,1,5,3,2,自属性攻撃力,1,+8.8%,クリティカル確率,3,+15.6%,奥義ダメージ上限,2,+7.2%,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
4887797,301080201,サント・シャッポー,1,5,3,2,クリティカル確率,3,+15.6%,防御,2,+9.6%,アビリティ与ダメージ上昇,1,+11000,バトル開始時に自分に一定個数ランダムな強化効果,1,1個
4887795,301100301,金華香炉,1,5,3,2,弱体耐性,3,+7.8%,攻撃力,4,+1680,通常攻撃の与ダメージ上昇,1,+8800,1回攻撃発動時、自分に一定個数ランダムな強化効果,1,1個
4871114,301040101,オミナス・ホーン,1,5,3,2,有利属性軽減,1,+4.4%,トリプルアタック確率,3,+5.2%,HPが50%以上の時、トリプルアタック確率UP,1,+6.6%,獲得経験値UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+1%
4865440,301010101,オミナス・アミュレット,1,5,3,1,有利属性軽減,1,+4.4%,奥義ダメージ,5,+18%,奥義ダメージ上限,5,+9%,アビリティダメージを一定量与える毎に自分にアビリティ与ダメージ上昇(累積),1,40000000
4856683,301080101,オミナス・フィアン,1,5,3,4,トリプルアタック確率,3,+5.2%,自属性攻撃力,3,+10.4%,アビリティダメージ上限,5,+12%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4856143,301030201,サント・キャスク,1,5,3,6,有利属性軽減,1,+4.4%,奥義ダメージ,4,+16.8%,通常攻撃ダメージ上限UP/アビリティダメージ上限-80％/奥義ダメージ上限-60％,1,+4.4%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
4856021,301090101,オミナス・ホイッスル,1,5,3,5,ダブルアタック確率,1,+6.6%,クリティカル確率,1,+13.2%,クリティカル発動時、ダメージ上限UP,1,+2.2%,サブメンバー時、一定ターン毎に敵全体にランダムな弱体効果を1つ付与(重複不可),1,7ターン
4835908,301100201,サント・キャプション,1,5,3,3,奥義ダメージ,3,+15.6%,有利属性軽減,1,+4.4%,確率で強化効果が無効化されない,1,20%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
4825053,301070301,金華覆装,1,5,3,3,自属性攻撃力,2,+9.6%,HP,1,+660,アビリティダメージ上限,4,+11.2%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
4823038,301030201,サント・キャスク,1,5,3,3,防御,4,+11.2%,回復性能,2,+14.4%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,4,+22.4%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4822994,301090201,サント・ボアトムジーク,1,5,3,1,アビリティダメージ,2,+14.4%,弱体耐性,1,+6.6%,通常攻撃の与ダメージ上昇,2,+9600,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4822990,301090101,オミナス・ホイッスル,1,5,3,3,トリプルアタック確率,1,+4.4%,HP,1,+660,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,1,+17.6%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4821056,301040301,金華革帯,1,5,3,3,トリプルアタック確率,2,+4.8%,弱体成功率,4,+8.4%,再生,1,440,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
4798465,301010101,オミナス・アミュレット,1,5,3,6,ダブルアタック確率,4,+8.4%,回復性能,1,+13.2%,アビリティダメージ上限,1,+8.8%,一定回数敵の攻撃行動のターゲットになった場合、一度だけ自分に自属性追撃(1回)効果,1,7回
4798434,301050201,サント・ローブ,1,5,3,3,トリプルアタック確率,1,+4.4%,弱体成功率,1,+6.6%,クリティカル発動時、ダメージ上限UP,1,+2.2%,1番目のアビリティ使用時にHPを一定割合消費するが、1番目のアビリティの使用間隔を1ターン短縮(レベルに応じて消費割合DOWN),1,30%
4798433,301050101,オミナス・トーテム,1,5,3,3,アビリティダメージ,2,+14.4%,弱体耐性,2,+7.2%,HPが100%の時、与ダメージUP,1,+2.2%,回復アビリティ使用時、自分の次に配置されたキャラに自属性追撃効果(1回),1,4%
4798424,301090301,金華銅鑼,1,5,3,4,回復性能,3,+15.6%,防御,3,+10.4%,クリティカル発動時、ダメージ上限UP,1,+2.2%,リンクアビリティを一定回数使用時に自分のリンクアビリティの再使用間隔を1ターン短縮,1,8回
4798102,301020101,オミナス・リング,1,5,3,5,ダブルアタック確率,4,+8.4%,クリティカル確率,1,+13.2%,クリティカル発動時、ダメージ上限UP,2,+2.4%,バトル開始時と5ターン毎に自分にバリア効果,1,1000
4790353,301100301,金華香炉,1,5,3,3,トリプルアタック確率,2,+4.8%,有利属性軽減,4,+5.6%,最大HP上昇/防御力-70%,4,+11.2%,アビリティダメージを一定量与える毎に自分にアビリティ与ダメージ上昇(累積),1,40000000
4790135,301030301,金華旗幟,1,5,3,3,奥義ダメージ,1,+13.2%,クリティカル確率,2,+14.4%,アビリティ与ダメージ上昇,3,+13000,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
4773714,301020101,オミナス・リング,1,5,3,1,回復性能,1,+13.2%,弱体耐性,3,+7.8%,チェイン与ダメージUP,1,+6.6%,アビリティダメージを一定量与える毎に自分にアビリティ与ダメージ上昇(累積),1,40000000
4773602,301080301,金華胸鎧,1,5,3,2,回復性能,5,+18%,HP,2,+720,奥義ダメージ特殊上限UP,2,+4.8%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4772747,301050201,サント・ローブ,1,5,3,3,攻撃力,5,+1800,奥義ダメージ,2,+14.4%,確率で強化効果が無効化されない,1,20%,戦闘不能になった時、一度だけ味方全体に一定個数ランダムな強化効果,1,1個
4772345,301030201,サント・キャスク,1,5,3,2,自属性攻撃力,1,+8.8%,奥義ダメージ,4,+16.8%,奥義ダメージ上限,2,+7.2%,敵に一定回数攻撃を与えた時、一度だけ自分に乱撃(3ヒット)効果(1回),1,200回
4772031,301060201,サント・リネット,1,5,3,1,クリティカル確率,2,+14.4%,弱体成功率,4,+8.4%,通常攻撃ダメージ上限UP/アビリティダメージ上限-80％/奥義ダメージ上限-60％,3,+5.2%,バトル開始時に自分に一定個数ランダムな強化効果,1,1個
4735457,301040301,金華革帯,1,5,3,3,自属性攻撃力,1,+8.8%,攻撃力,2,+1440,アビリティダメージ上限,2,+9.6%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4724010,301100101,オミナス・ストーン,1,5,3,2,回避率,4,+5.6%,有利属性軽減,3,+5.2%,奥義ダメージ上限,5,+9%,ターン終了時にHPが50%以下の敵がいる時、一度だけ自分のHPを回復,1,2000
4723592,301100101,オミナス・ストーン,1,5,3,3,トリプルアタック確率,4,+5.6%,有利属性軽減,1,+4.4%,クリティカル発動時、ダメージ上限UP,1,+2.2%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4722784,301060201,サント・リネット,1,5,3,5,ダブルアタック確率,4,+8.4%,奥義ダメージ,1,+13.2%,奥義ダメージ上限,3,+7.8%,攻撃行動を行わなかった場合、ターン終了時に自分に一定個数ランダムな強化効果,1,1個
4722694,301010101,オミナス・アミュレット,1,5,3,6,攻撃力,3,+1560,有利属性軽減,1,+4.4%,奥義与ダメージ上昇,3,+130000,サブメンバー時、一定ターン毎に敵全体にランダムな弱体効果を1つ付与(重複不可),1,7ターン
4722249,301010301,金華羽飾,1,5,3,6,HP,2,+720,防御,1,+8.8%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,3,+20.8%,ターン終了時にHPが50%以下の敵がいる時、一度だけ自分のHPを回復,1,2000
4715261,301100101,オミナス・ストーン,1,5,3,3,防御,3,+10.4%,アビリティダメージ,4,+16.8%,再生,4,560,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
4714832,301010301,金華羽飾,1,5,3,3,アビリティダメージ,4,+16.8%,ダブルアタック確率,2,+7.2%,HPが50%以下の時、被ダメージを軽減,2,+9.6%,バトル開始時から1ターンの間被ダメージ減少,1,1000
4714811,301020301,金華面具,1,5,3,1,ダブルアタック確率,3,+7.8%,アビリティダメージ,1,+13.2%,クリティカル発動時、ダメージ上限UP,4,+2.8%,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4714365,301060101,オミナス・ペンダント,1,5,3,1,アビリティダメージ,4,+16.8%,有利属性軽減,2,+4.8%,奥義ダメージ特殊上限UP,2,+4.8%,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
