id,artifact_id,name,level,rarity,attribute,kind,is_locked,is_unnecessary,skill1_name,skill1_quality,skill1_effect,skill1_level,skill1_is_max_quality,skill2_name,skill2_quality,skill2_effect,skill2_level,skill2_is_max_quality,skill3_name,skill3_quality,skill3_effect,skill3_level,skill3_is_max_quality,skill4_name,skill4_quality,skill4_effect,skill4_level,skill4_is_max_quality
5115746,301030301,金華旗幟,1,3,闇,槍,False,False,攻撃力,3,+1560,1,False,弱体成功率,1,+6.6%,1,False,通常攻撃の与ダメージ上昇,3,+10400,1,False,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%,1,True
5115547,301030101,オミナス・ゴブレット,1,3,土,槍,False,False,トリプルアタック確率,4,+5.6%,1,False,自属性攻撃力,1,+8.8%,1,False,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,1,+17.6%,1,False,敵に一定回数攻撃を与えた時、一度だけ自分に乱撃(3ヒット)効果(1回),1,200回,1,True
5095579,301090301,金華銅鑼,1,3,光,楽器,False,False,ダブルアタック確率,1,+6.6%,1,False,クリティカル確率,1,+13.2%,1,False,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,2,+14.4%,1,False,ターン終了時、確率で敵の強化効果を全て無効化(重複不可),1,1%,1,True
5095574,301040201,サント・アルミュール,1,3,火,斧,False,False,回避率,2,+4.8%,1,False,有利属性軽減,4,+5.6%,1,False,HPが100%の時、与ダメージUP,3,+2.6%,1,False,一定回数敵の攻撃行動のターゲットになった場合、一度だけ自分に自属性追撃(1回)効果,1,7回,1,True
5095573,301050201,サント・ローブ,1,3,風,杖,False,False,回避率,3,+5.2%,1,False,弱体成功率,4,+8.4%,1,False,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,3,+15.6%,1,False,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%,1,True
5095570,301060301,金華望鏡,1,3,光,銃,False,False,攻撃力,1,+1320,1,False,有利属性軽減,1,+4.4%,1,False,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,1,+13.2%,1,False,1回攻撃発動時、自分に一定個数ランダムな強化効果,1,1個,1,True
5095559,301040101,オミナス・ホーン,1,3,風,斧,False,False,ダブルアタック確率,2,+7.2%,1,False,奥義ダメージ,2,+14.4%,1,False,HPが100%の時、与ダメージUP,3,+2.6%,1,False,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%,1,True
5083638,301080201,サント・シャッポー,1,3,水,弓,False,False,アビリティダメージ,1,+13.2%,1,False,クリティカル確率,2,+14.4%,1,False,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,3,+20.8%,1,False,獲得経験値UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+1%,1,True
5083598,301080101,オミナス・フィアン,1,3,水,弓,False,False,奥義ダメージ,1,+13.2%,1,False,攻撃力,1,+1320,1,False,確率で強化効果が無効化されない,1,20%,1,True,アビリティを一定回数使用する度に自分にダメージ上限UP(累積),1,5回,1,True
5083322,301020101,オミナス・リング,1,3,火,短剣,False,False,奥義ダメージ,1,+13.2%,1,False,ダブルアタック確率,3,+7.8%,1,False,アビリティ与ダメージ上昇,1,+11000,1,False,ターン終了時、確率で敵の強化効果を全て無効化(重複不可),1,1%,1,True
5083093,301010101,オミナス・アミュレット,1,3,土,剣,False,False,クリティカル確率,5,+18%,1,True,奥義ダメージ,3,+15.6%,1,False,最大HP上昇/防御力-70%,4,+11.2%,1,False,使用間隔が10ターン以上のアビリティ使用時、自分に与ダメージUP,1,2%,1,True
5082577,301020201,サント・ジャセロン,1,3,光,短剣,False,False,クリティカル確率,4,+16.8%,1,False,アビリティダメージ,5,+18%,1,True,奥義ダメージ特殊上限UP,3,+5.2%,1,False,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%,1,True
5082546,301050101,オミナス・トーテム,1,3,土,杖,False,False,弱体成功率,5,+9%,1,True,弱体耐性,1,+6.6%,1,False,通常攻撃ダメージ上限,2,+2.4%,1,False,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%,1,True
